Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.31,-.05,-.42,-.13,-.01,-.82,-.53,-.34,-.14,-.11,-.04,.05,.68
1881,-.10,-.20,.00,-.39,.10,-.07,-.95,-.51,-.24,.11,.10,-.05,-.07,.60
1882,-.12,-.23,-.01,-.34,-.05,.01,-1.43,-.32,-.18,-.04,-.05,.01,.04,.63
1883,-.18,-.30,-.07,-.38,-.16,-.01,-.19,-.59,-.29,-.17,-.16,-.04,.07,.51
1884,-.29,-.44,-.15,-.63,-.15,-.14,-1.31,-.67,-.49,-.12,-.17,-.19,-.02,.66
1885,-.34,-.45,-.25,-.68,-.13,-.27,-1.51,-.72,-.47,-.06,-.21,-.33,-.15,.83
1886,-.32,-.44,-.20,-.59,-.20,-.21,-1.59,-.54,-.42,-.20,-.19,-.20,-.20,.60
1887,-.37,-.45,-.29,-.55,-.30,-.28,-1.77,-.55,-.31,-.29,-.31,-.28,-.26,.33
1888,-.18,-.24,-.11,-.44,.10,-.29,-1.31,-.46,-.26,.07,.13,-.31,-.22,.17
1889,-.11,-.19,-.04,-.32,.08,-.16,-.69,-.25,-.29,.02,.14,-.15,-.15,.46
1890,-.36,-.40,-.32,-.48,-.37,-.22,-1.15,-.59,-.29,-.27,-.48,-.17,-.27,.16
1891,-.23,-.27,-.20,-.44,-.08,-.21,-1.12,-.36,-.38,.00,-.17,-.18,-.23,-.15
1892,-.28,-.41,-.15,-.45,-.30,-.08,-1.13,-.67,-.19,-.34,-.27,.02,-.21,.10
1893,-.32,-.49,-.16,-.52,-.37,-.04,-.67,-.56,-.48,-.43,-.32,.07,-.20,-.03
1894,-.31,-.40,-.22,-.34,-.34,-.24,-.97,-.35,-.20,-.49,-.20,-.14,-.35,-.37
1895,-.23,-.32,-.15,-.43,-.08,-.25,-.72,-.55,-.29,-.15,-.01,-.19,-.31,-.57
1896,-.12,-.21,-.03,-.38,.09,-.15,-.92,-.40,-.24,.05,.14,-.15,-.13,.26
1897,-.12,-.18,-.05,-.38,.16,-.23,-.59,-.49,-.26,.13,.20,-.19,-.27,.41
1898,-.28,-.30,-.26,-.38,-.23,-.26,-1.19,-.27,-.25,-.19,-.27,-.27,-.21,.39
1899,-.18,-.23,-.14,-.27,-.12,-.18,-1.08,-.13,-.16,-.16,-.08,-.15,-.21,.59
1900,-.09,-.11,-.07,-.23,.16,-.30,-.58,-.19,-.17,.08,.25,-.29,-.29,.28
